"month","day","mean","sdmean","rollmean","year","date","minus","plus"
5,19,1.01930307278001e-05,8.70182092874365e-06,9.91262726824369e-06,2020,2020-05-19,8.88918802997936e-06,1.0936066506508e-05
5,20,1.01274643088322e-05,7.092752955375e-06,1.01334234558518e-05,2020,2020-05-20,9.43186850456955e-06,1.08349784071341e-05
5,21,1.00797753309232e-05,7.26775782080411e-06,1.06240933782302e-05,2020,2020-05-21,9.6994054748927e-06,1.15487812815677e-05
5,22,1.16650404949352e-05,7.97217830520889e-06,1.08074529318132e-05,2020,2020-05-22,9.57315160204102e-06,1.20417542615854e-05
5,23,1.06775429695813e-05,7.20040612516927e-06,1.12899846576855e-05,2020,2020-05-23,9.84798029603822e-06,1.27319890193327e-05
5,24,1.15273705085398e-05,7.59204028323947e-06,1.10796485231358e-05,2020,2020-05-24,9.95458451695585e-06,1.22047125293158e-05
5,25,1.10340320912863e-05,8.40150119743493e-06,1.05818581207274e-05,2020,2020-05-25,7.9103210622179e-06,1.32533951792369e-05
5,26,9.18417176235606e-06,8.12446001344049e-06,9.66734079864574e-06,2020,2020-05-26,5.70373052909419e-06,1.36309510681973e-05
5,27,8.78381854229483e-06,8.19659606737676e-06,9.64390592602871e-06,2020,2020-05-27,5.67284087645956e-06,1.36149709755979e-05
5,28,1.09637274734352e-05,7.16486562295783e-06,1.01548476040856e-05,2020,2020-05-28,7.61036464007398e-06,1.26993305680972e-05
5,29,1.07169967965267e-05,6.59399702866535e-06,1.11299236486497e-05,2020,2020-05-29,9.40702252348523e-06,1.28528247738143e-05
5,30,1.17090466759873e-05,4.66824895120342e-06,1.14101064953593e-05,2020,2020-05-30,1.03866672570949e-05,1.24335457336236e-05
5,31,1.18042760135638e-05,5.8711329157755e-06,1.17016606216774e-05,2020,2020-05-31,1.10001056703951e-05,1.24032155729596e-05
6,1,1.1591659175481e-05,6.35658307264027e-06,1.14110593507389e-05,2020,2020-06-01,1.04863714474014e-05,1.23357472540765e-05
6,2,1.0837242863172e-05,5.01486229237354e-06,1.15091299434724e-05,2020,2020-06-02,9.8287841580974e-06,1.31894757288474e-05
6,3,1.20984877917641e-05,6.5005268833382e-06,1.1633004960653e-05,2020,2020-06-03,1.03987036308808e-05,1.28673062904252e-05
6,4,1.19632842270228e-05,4.05444428419575e-06,1.11234002356764e-05,2020,2020-06-04,9.68139587402912e-06,1.25654045973236e-05
6,5,9.30842868824218e-06,4.55932738627711e-06,1.04703207057731e-05,2020,2020-06-05,9.34525669959317e-06,1.15953847119531e-05
6,6,1.01392492020545e-05,3.07035877883821e-06,1.02409296136826e-05,2020,2020-06-06,7.56939255517308e-06,1.29124666721921e-05
6,7,1.12751109507511e-05,2.6058664700666e-06,1.0852113841147e-05,2020,2020-06-07,6.88850357159543e-06,1.48157241106985e-05
6,8,1.11419813706353e-05,5.09886900539228e-06,1.06206184024262e-05,2020,2020-06-08,6.64955335285708e-06,1.45916834519954e-05
