date;year;month;day;hour;minute;second;T42
12.1.2018 9:00;2018;1;12;9;0;0;-5,4167
12.1.2018 10:00;2018;1;12;10;0;0;-5,172
12.1.2018 11:00;2018;1;12;11;0;0;-4,732
12.1.2018 12:00;2018;1;12;12;0;0;-4,4283
12.1.2018 13:00;2018;1;12;13;0;0;-4,2292
12.1.2018 14:00;2018;1;12;14;0;0;-4,1738
12.1.2018 15:00;2018;1;12;15;0;0;-4,3748
12.1.2018 16:00;2018;1;12;16;0;0;-4,2165
12.1.2018 17:00;2018;1;12;17;0;0;-4,4933
12.1.2018 18:00;2018;1;12;18;0;0;-4,6852
12.1.2018 19:00;2018;1;12;19;0;0;-4,86
12.1.2018 20:00;2018;1;12;20;0;0;-4,6873
12.1.2018 21:00;2018;1;12;21;0;0;-4,7232
12.1.2018 22:00;2018;1;12;22;0;0;-4,7467
12.1.2018 23:00;2018;1;12;23;0;0;-4,5635
13.1.2018 0:00;2018;1;13;0;0;0;-4,6717
13.1.2018 1:00;2018;1;13;1;0;0;-4,9452
13.1.2018 2:00;2018;1;13;2;0;0;-4,913
13.1.2018 3:00;2018;1;13;3;0;0;-4,9377
13.1.2018 4:00;2018;1;13;4;0;0;-4,9145
13.1.2018 5:00;2018;1;13;5;0;0;-4,9635
13.1.2018 6:00;2018;1;13;6;0;0;-4,8413
13.1.2018 7:00;2018;1;13;7;0;0;-4,8267
13.1.2018 8:00;2018;1;13;8;0;0;-4,7837
13.1.2018 9:00;2018;1;13;9;0;0;-4,639
13.1.2018 10:00;2018;1;13;10;0;0;-4,4802
13.1.2018 11:00;2018;1;13;11;0;0;-4,0665
13.1.2018 12:00;2018;1;13;12;0;0;-3,7728
13.1.2018 13:00;2018;1;13;13;0;0;-3,4498
13.1.2018 14:00;2018;1;13;14;0;0;-3,3532
13.1.2018 15:00;2018;1;13;15;0;0;-3,5023
13.1.2018 16:00;2018;1;13;16;0;0;-3,6545
13.1.2018 17:00;2018;1;13;17;0;0;-3,781
13.1.2018 18:00;2018;1;13;18;0;0;-3,8515
13.1.2018 19:00;2018;1;13;19;0;0;-3,9413
13.1.2018 20:00;2018;1;13;20;0;0;-3,9373
13.1.2018 21:00;2018;1;13;21;0;0;-3,9245
13.1.2018 22:00;2018;1;13;22;0;0;-3,9612
13.1.2018 23:00;2018;1;13;23;0;0;-3,9883
14.1.2018 0:00;2018;1;14;0;0;0;-3,9972
14.1.2018 1:00;2018;1;14;1;0;0;-4,0242
14.1.2018 2:00;2018;1;14;2;0;0;-4,0392
14.1.2018 3:00;2018;1;14;3;0;0;-4,057
14.1.2018 4:00;2018;1;14;4;0;0;-4,1387
14.1.2018 5:00;2018;1;14;5;0;0;-4,1965
14.1.2018 6:00;2018;1;14;6;0;0;-4,2857
14.1.2018 7:00;2018;1;14;7;0;0;-4,4008
14.1.2018 8:00;2018;1;14;8;0;0;-4,5287
14.1.2018 9:00;2018;1;14;9;0;0;-4,6268
14.1.2018 10:00;2018;1;14;10;0;0;-4,588
14.1.2018 11:00;2018;1;14;11;0;0;-4,4797
14.1.2018 12:00;2018;1;14;12;0;0;-4,4638
14.1.2018 13:00;2018;1;14;13;0;0;-4,413
14.1.2018 14:00;2018;1;14;14;0;0;-4,4273
14.1.2018 15:00;2018;1;14;15;0;0;-4,5202
14.1.2018 16:00;2018;1;14;16;0;0;-4,557
14.1.2018 17:00;2018;1;14;17;0;0;-4,5252
14.1.2018 18:00;2018;1;14;18;0;0;-4,5615
14.1.2018 19:00;2018;1;14;19;0;0;-4,612
14.1.2018 20:00;2018;1;14;20;0;0;-4,7083
14.1.2018 21:00;2018;1;14;21;0;0;-4,7288
14.1.2018 22:00;2018;1;14;22;0;0;-4,8452
14.1.2018 23:00;2018;1;14;23;0;0;-5,014
15.1.2018 0:00;2018;1;15;0;0;0;-5,2435
15.1.2018 1:00;2018;1;15;1;0;0;-5,6547
15.1.2018 2:00;2018;1;15;2;0;0;-6,0677
15.1.2018 3:00;2018;1;15;3;0;0;-6,4245
15.1.2018 4:00;2018;1;15;4;0;0;-6,861
15.1.2018 5:00;2018;1;15;5;0;0;-7,3523
15.1.2018 6:00;2018;1;15;6;0;0;-7,7423
15.1.2018 7:00;2018;1;15;7;0;0;-7,986
15.1.2018 8:00;2018;1;15;8;0;0;-8,328
15.1.2018 9:00;2018;1;15;9;0;0;-8,3243
15.1.2018 10:00;2018;1;15;10;0;0;-8,2205
15.1.2018 11:00;2018;1;15;11;0;0;-7,9117
15.1.2018 12:00;2018;1;15;12;0;0;-7,7857
15.1.2018 13:00;2018;1;15;13;0;0;-7,6342
15.1.2018 14:00;2018;1;15;14;0;0;-7,5617
15.1.2018 15:00;2018;1;15;15;0;0;-7,9893
15.1.2018 16:00;2018;1;15;16;0;0;-8,1883
15.1.2018 17:00;2018;1;15;17;0;0;-8,4015
15.1.2018 18:00;2018;1;15;18;0;0;-8,6952
15.1.2018 19:00;2018;1;15;19;0;0;-9,0092
15.1.2018 20:00;2018;1;15;20;0;0;-8,8278
15.1.2018 21:00;2018;1;15;21;0;0;-8,7743
15.1.2018 22:00;2018;1;15;22;0;0;-8,8913
15.1.2018 23:00;2018;1;15;23;0;0;-8,9847
16.1.2018 0:00;2018;1;16;0;0;0;-8,9428
16.1.2018 1:00;2018;1;16;1;0;0;-8,9705
16.1.2018 2:00;2018;1;16;2;0;0;-8,9457
16.1.2018 3:00;2018;1;16;3;0;0;-8,9055
16.1.2018 4:00;2018;1;16;4;0;0;-8,878
16.1.2018 5:00;2018;1;16;5;0;0;-8,8692
16.1.2018 6:00;2018;1;16;6;0;0;-8,8768
16.1.2018 7:00;2018;1;16;7;0;0;-8,9167
16.1.2018 8:00;2018;1;16;8;0;0;-8,9423
16.1.2018 9:00;2018;1;16;9;0;0;-9,361
16.1.2018 10:00;2018;1;16;10;0;0;-9,6517
16.1.2018 11:00;2018;1;16;11;0;0;-9,6265
16.1.2018 12:00;2018;1;16;12;0;0;-9,2618
16.1.2018 13:00;2018;1;16;13;0;0;-8,5455
16.1.2018 14:00;2018;1;16;14;0;0;-8,2738
16.1.2018 15:00;2018;1;16;15;0;0;-8,7148
16.1.2018 16:00;2018;1;16;16;0;0;-8,7082
16.1.2018 17:00;2018;1;16;17;0;0;-8,5982
16.1.2018 18:00;2018;1;16;18;0;0;-8,4268
16.1.2018 19:00;2018;1;16;19;0;0;-8,1065
16.1.2018 20:00;2018;1;16;20;0;0;-7,917
16.1.2018 21:00;2018;1;16;21;0;0;-7,7035
16.1.2018 22:00;2018;1;16;22;0;0;-7,639
16.1.2018 23:00;2018;1;16;23;0;0;-7,7563
17.1.2018 0:00;2018;1;17;0;0;0;-7,8847
17.1.2018 1:00;2018;1;17;1;0;0;-8,1947
17.1.2018 2:00;2018;1;17;2;0;0;-8,3807
17.1.2018 3:00;2018;1;17;3;0;0;-8,1888
17.1.2018 4:00;2018;1;17;4;0;0;-7,8908
17.1.2018 5:00;2018;1;17;5;0;0;-7,6983
17.1.2018 6:00;2018;1;17;6;0;0;-8,052
17.1.2018 7:00;2018;1;17;7;0;0;-8,23
17.1.2018 8:00;2018;1;17;8;0;0;-8,489
17.1.2018 9:00;2018;1;17;9;0;0;-8,4327
17.1.2018 10:00;2018;1;17;10;0;0;-8,7715
17.1.2018 11:00;2018;1;17;11;0;0;-8,8158
17.1.2018 12:00;2018;1;17;12;0;0;-8,8093
17.1.2018 13:00;2018;1;17;13;0;0;-9,2497
17.1.2018 14:00;2018;1;17;14;0;0;-9,5402
17.1.2018 15:00;2018;1;17;15;0;0;-9,9192
17.1.2018 16:00;2018;1;17;16;0;0;-10,1223
17.1.2018 17:00;2018;1;17;17;0;0;-9,905
17.1.2018 18:00;2018;1;17;18;0;0;-9,5098
17.1.2018 19:00;2018;1;17;19;0;0;-9,411
17.1.2018 20:00;2018;1;17;20;0;0;-9,574
17.1.2018 21:00;2018;1;17;21;0;0;-9,3398
17.1.2018 22:00;2018;1;17;22;0;0;-9,1205
17.1.2018 23:00;2018;1;17;23;0;0;-8,741
18.1.2018 0:00;2018;1;18;0;0;0;-8,2355
18.1.2018 1:00;2018;1;18;1;0;0;-7,6357
18.1.2018 2:00;2018;1;18;2;0;0;-7,1528
18.1.2018 3:00;2018;1;18;3;0;0;-6,8045
18.1.2018 4:00;2018;1;18;4;0;0;-6,6417
18.1.2018 5:00;2018;1;18;5;0;0;-6,6773
18.1.2018 6:00;2018;1;18;6;0;0;-6,8625
18.1.2018 7:00;2018;1;18;7;0;0;-7,0367
18.1.2018 8:00;2018;1;18;8;0;0;-7,3348
18.1.2018 9:00;2018;1;18;9;0;0;-7,0422
18.1.2018 10:00;2018;1;18;10;0;0;-6,6015
18.1.2018 11:00;2018;1;18;11;0;0;-6,1015
18.1.2018 12:00;2018;1;18;12;0;0;-5,8893
18.1.2018 13:00;2018;1;18;13;0;0;-5,923
18.1.2018 14:00;2018;1;18;14;0;0;-6,2462
18.1.2018 15:00;2018;1;18;15;0;0;-6,367
18.1.2018 16:00;2018;1;18;16;0;0;-6,7687
18.1.2018 17:00;2018;1;18;17;0;0;-7,1215
18.1.2018 18:00;2018;1;18;18;0;0;-7,3637
18.1.2018 19:00;2018;1;18;19;0;0;-7,6433
18.1.2018 20:00;2018;1;18;20;0;0;-7,7283
18.1.2018 21:00;2018;1;18;21;0;0;-7,5383
18.1.2018 22:00;2018;1;18;22;0;0;-7,9817
18.1.2018 23:00;2018;1;18;23;0;0;-7,7372
19.1.2018 0:00;2018;1;19;0;0;0;-7,8315
19.1.2018 1:00;2018;1;19;1;0;0;-8,1093
19.1.2018 2:00;2018;1;19;2;0;0;-8,3055
19.1.2018 3:00;2018;1;19;3;0;0;-8,3665
19.1.2018 4:00;2018;1;19;4;0;0;-8,7345
19.1.2018 5:00;2018;1;19;5;0;0;-9,6308
